STN_ID,SITE_CODE,WLM_ID,MSMT_DATE,WLM_RPE,WLM_GSE,RDNG_WS,RDNG_RP,WSE,RPE_WSE,GSE_WSE,WLM_QA_DESC,WLM_DESC,WLM_ACC_DESC,WLM_ORG_ID,WLM_ORG_NAME,MSMT_CMT,COOP_AGENCY_ORG_ID,COOP_ORG_NAME
9302,385171N1227717W001,2662666,2020-09-14T00:00:00Z,136.84,136.84,0,34.7,102.14,34.7,34.7,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,Run 3,1,Department of Water Resources
9302,385171N1227717W001,2660477,2020-08-11T00:00:00Z,136.84,136.84,0,32.7,104.14,32.7,32.7,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,Run 3  No data collected due to Covid-19,1,Department of Water Resources
9302,385171N1227717W001,2632542,2020-07-08T00:00:00Z,136.84,136.84,0,28.3,108.54,28.3,28.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,Run 3,1,Department of Water Resources
9302,385171N1227717W001,2626483,2020-06-05T00:00:00Z,136.84,136.84,0,22.6,114.24,22.6,22.6,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,Run 3,1,Department of Water Resources
9302,385171N1227717W001,2624630,2020-05-18T00:00:00Z,136.84,136.84,0,21.6,115.24,21.6,21.6,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2624591,2020-04-20T00:00:00Z,136.84,136.84,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,No data collected due to COVID 19,1,Department of Water Resources
9302,385171N1227717W001,2538534,2020-03-09T00:00:00Z,136.84,136.84,0,20.1,116.74,20.1,20.1,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2519761,2020-02-05T00:00:00Z,136.84,136.84,0,18.9,117.94,18.9,18.9,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2493883,2020-01-08T00:00:00Z,136.84,136.84,0,22,114.84,22,22,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2489334,2019-12-09T00:00:00Z,136.84,136.84,0,28.7,108.14,28.7,28.7,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2485137,2019-11-12T00:00:00Z,136.84,136.84,0,31.9,104.94,31.9,31.9,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2479754,2019-10-24T00:00:00Z,136.84,136.84,0,31.6,105.24,31.6,31.6,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2475383,2019-09-19T00:00:00Z,136.84,136.84,0,29.2,107.64,29.2,29.2,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2474518,2019-08-21T00:00:00Z,136.84,136.84,0,25,111.84,25,25,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2472449,2019-07-17T00:00:00Z,136.84,136.84,0,17.7,119.14,17.7,17.7,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2465760,2019-06-19T00:00:00Z,136.84,136.84,0,13.6,123.24,13.6,13.6,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2461302,2019-05-22T00:00:00Z,136.84,136.84,0,11.2,125.64,11.2,11.2,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2453224,2019-04-10T00:00:00Z,136.84,136.84,0,9.3,127.54,9.3,9.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2450138,2019-03-13T00:00:00Z,136.84,136.84,0,10.1,126.74,10.1,10.1,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2447868,2019-02-21T00:00:00Z,136.84,136.84,0,13.4,123.44,13.4,13.4,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2438406,2019-01-16T00:00:00Z,136.84,136.84,0,22.7,114.14,22.7,22.7,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2433636,2018-12-19T00:00:00Z,136.84,136.84,0,28.4,108.44,28.4,28.4,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2429229,2018-11-07T00:00:00Z,136.84,136.84,0,32.2,104.64,32.2,32.2,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2411654,2018-10-10T00:00:00Z,136.84,136.84,0,32.6,104.24,32.6,32.6,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2410399,2018-09-21T00:00:00Z,136.84,136.84,0,32.3,104.54,32.3,32.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2409241,2018-08-24T00:00:00Z,136.84,136.84,0,36.8,100.04,36.8,36.8,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2306569,2018-07-13T00:00:00Z,136.84,136.84,0,24.9,111.94,24.9,24.9,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2306559,2018-05-25T00:00:00Z,136.84,136.84,0,17.4,119.44,17.4,17.4,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2284779,2018-03-07T00:00:00Z,136.84,136.84,0,21.3,115.54,21.3,21.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2236922,2017-03-22T00:00:00Z,136.84,136.84,0,11.1,125.74,11.1,11.1,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2216165,2016-10-12T00:00:00Z,136.84,136.84,0,34.4,102.44,34.4,34.4,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2187195,2016-04-13T00:00:00Z,136.84,136.84,0,12.9,123.94,12.9,12.9,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2164382,2015-10-27T00:00:00Z,136.84,136.84,0,34.1,102.74,34.1,34.1,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2121448,2015-03-18T00:00:00Z,136.84,136.84,0,18.8,118.04,18.8,18.8,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,2030532,2014-10-08T00:00:00Z,136.84,136.84,0,34.2,102.64,34.2,34.2,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1882814,2014-03-18T00:00:00Z,136.84,136.84,0,21.2,115.64,21.2,21.2,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1823337,2013-12-03T00:00:00Z,136.84,136.84,0,30.8,106.04,30.8,30.8,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1717534,2013-04-22T00:00:00Z,136.84,136.84,0,14.3,122.54,14.3,14.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1717521,2012-11-29T00:00:00Z,136.84,136.84,0,27.1,109.74,27.1,27.1,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,66509,2012-04-26T00:00:00Z,136.84,136.84,0,11.6,125.24,11.6,11.6,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297478,2011-12-21T00:00:00Z,136.84,136.84,0,22.4,114.44,22.4,22.4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297477,2011-04-27T00:00:00Z,136.84,136.84,0,9.6,127.24,9.6,9.6,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297476,2010-12-08T00:00:00Z,136.84,136.84,0,19.2,117.64,19.2,19.2,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297475,2010-04-14T00:00:00Z,136.84,136.84,0,10.9,125.94,10.9,10.9,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297474,2009-11-23T00:00:00Z,136.84,136.84,0,29.5,107.34,29.5,29.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297473,2009-04-06T00:00:00Z,136.84,136.84,0,19.4,117.44,19.4,19.4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297472,2008-12-03T00:00:00Z,136.84,136.84,0,32.6,104.24,32.6,32.6,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297471,2008-04-22T00:00:00Z,136.84,136.84,0,15.4,121.44,15.4,15.4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297470,2007-10-24T00:00:00Z,136.84,136.84,0,29.7,107.14,29.7,29.7,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297469,2007-04-12T00:00:00Z,136.84,136.84,0,12.5,124.34,12.5,12.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297468,2006-04-17T00:00:00Z,136.84,136.84,0,7.9,128.94,7.9,7.9,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297467,2005-10-19T00:00:00Z,136.84,136.84,0,28.5,108.34,28.5,28.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297466,2005-04-07T00:00:00Z,136.84,136.84,0,10.6,126.24,10.6,10.6,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297465,2004-11-03T00:00:00Z,136.84,136.84,0,31.6,105.24,31.6,31.6,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297464,2004-04-05T00:00:00Z,136.84,136.84,0,11.2,125.64,11.2,11.2,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297463,2003-11-12T00:00:00Z,136.84,136.84,0,35.3,101.54,35.3,35.3,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
9302,385171N1227717W001,1297462,2003-04-15T00:00:00Z,136.84,136.84,0,12.4,124.44,12.4,12.4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
