STN_ID,SITE_CODE,WLM_ID,MSMT_DATE,WLM_RPE,WLM_GSE,RDNG_WS,RDNG_RP,WSE,RPE_WSE,GSE_WSE,WLM_QA_DESC,WLM_DESC,WLM_ACC_DESC,WLM_ORG_ID,WLM_ORG_NAME,MSMT_CMT,COOP_AGENCY_ORG_ID,COOP_ORG_NAME
22419,360967N1199588W001,2492353,2019-11-12T12:52:00Z,230,230,NA,NA,NA,NA,NA,Pump house locked,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2472137,2019-06-06T10:26:00Z,230,230,NA,NA,NA,NA,NA,Pumping,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2439124,2018-12-11T00:00:00Z,230,230,0,457.1,-227.1,457.1,457.1,NA,Acoustic or sonic sounder,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2305458,2018-06-11T00:00:00Z,230,230,NA,NA,NA,NA,NA,Pumping,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2264059,2017-10-04T10:45:00Z,230,230,0,273.7,-43.7,273.7,273.7,NA,Acoustic or sonic sounder,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2224013,2016-12-12T00:00:00Z,230,230,NA,NA,NA,NA,NA,Pump house locked,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2185259,2015-11-19T09:05:00Z,230,230,NA,NA,NA,NA,NA,Pump house locked,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2115965,2015-01-23T11:40:00Z,230,230,0,387,-157,387,387,NA,Acoustic or sonic sounder,Water level accuracy to nearest foot,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,1883284,2014-01-06T09:51:00Z,230,230,NA,NA,NA,NA,NA,Pump house locked,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,93090,2012-12-20T09:21:00Z,230,230,0,261,-31,261,261,NA,Acoustic or sonic sounder,Water level accuracy to nearest foot,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,37230,2011-12-22T00:00:00Z,230,230,0,200,30,200,200,NA,Acoustic or sonic sounder,Water level accuracy to nearest foot,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2182130,2010-12-13T00:00:00Z,230,230,0,285,-55,285,285,NA,Acoustic or sonic sounder,Water level accuracy to nearest foot,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2182131,2009-12-10T00:00:00Z,230,230,NA,NA,NA,NA,NA,Pumping,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2182132,2008-11-13T00:00:00Z,230,230,0,308,-78,308,308,NA,Acoustic or sonic sounder,Water level accuracy to nearest foot,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2182133,2007-12-17T00:00:00Z,230,230,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,5100,Westlands Water District,NA,5100,Westlands Water District
22419,360967N1199588W001,2182134,2006-12-04T00:00:00Z,230,230,NA,NA,NA,NA,NA,Special/Other,NA,NA,5100,Westlands Water District,No access,5100,Westlands Water District
