STN_ID,SITE_CODE,WLM_ID,MSMT_DATE,WLM_RPE,WLM_GSE,RDNG_WS,RDNG_RP,WSE,RPE_WSE,GSE_WSE,WLM_QA_DESC,WLM_DESC,WLM_ACC_DESC,WLM_ORG_ID,WLM_ORG_NAME,MSMT_CMT,COOP_AGENCY_ORG_ID,COOP_ORG_NAME
32678,369952N1206554W001,1265623,2011-10-07T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Measurement Discontinued,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265622,2010-07-26T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Measurement Discontinued,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265621,2007-11-12T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Unable to locate well,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265620,1994-11-14T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Well has been destroyed,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265619,1993-11-02T00:00:00Z,115.31,114.31,0,4.5,110.81,4.5,3.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265618,1993-04-12T00:00:00Z,115.31,114.31,0,4,111.31,4,3,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265617,1992-10-19T00:00:00Z,115.31,114.31,0,4.2,111.11,4.2,3.2,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265616,1992-02-03T00:00:00Z,115.31,114.31,0,5.5,109.81,5.5,4.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265615,1991-10-21T00:00:00Z,115.31,114.31,0,5,110.31,5,4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265614,1991-01-02T00:00:00Z,115.31,114.31,0,4.5,110.81,4.5,3.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265613,1990-10-22T00:00:00Z,115.31,114.31,0,7,108.31,7,6,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265612,1990-02-13T00:00:00Z,115.31,114.31,0,5,110.31,5,4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265611,1989-10-23T00:00:00Z,115.31,114.31,0,4.9,110.41,4.9,3.9,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265610,1989-03-21T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265609,1988-11-01T00:00:00Z,115.31,114.31,0,11,104.31,11,10,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265608,1988-03-14T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265607,1987-11-02T00:00:00Z,115.31,114.31,0,10,105.31,10,9,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265606,1987-03-25T00:00:00Z,115.31,114.31,0,4,111.31,4,3,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265605,1986-10-20T00:00:00Z,115.31,114.31,0,3.5,111.81,3.5,2.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265604,1986-03-26T00:00:00Z,115.31,114.31,0,2,113.31,2,1,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265603,1985-10-23T00:00:00Z,115.31,114.31,0,4,111.31,4,3,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265602,1985-04-16T00:00:00Z,115.31,114.31,0,2,113.31,2,1,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265601,1984-11-27T00:00:00Z,115.31,114.31,0,6,109.31,6,5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265600,1983-11-08T00:00:00Z,115.31,114.31,0,9,106.31,9,8,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265599,1983-04-20T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265598,1982-11-02T00:00:00Z,115.31,114.31,0,5,110.31,5,4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265597,1982-04-20T00:00:00Z,115.31,114.31,0,3,112.31,3,2,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265596,1981-10-20T00:00:00Z,115.31,114.31,0,4.5,110.81,4.5,3.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265595,1981-04-01T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265594,1980-10-20T00:00:00Z,115.31,114.31,0,5,110.31,5,4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265593,1980-03-19T00:00:00Z,115.31,114.31,0,1,114.31,1,0,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265592,1979-10-15T00:00:00Z,115.31,114.31,0,4,111.31,4,3,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265591,1979-03-14T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265590,1978-09-25T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265589,1978-04-10T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265588,1977-06-21T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265587,1975-03-25T00:00:00Z,115.31,114.31,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
32678,369952N1206554W001,1265586,1974-10-15T00:00:00Z,115.31,114.31,0,4,111.31,4,3,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
