STN_ID,SITE_CODE,WLM_ID,MSMT_DATE,WLM_RPE,WLM_GSE,RDNG_WS,RDNG_RP,WSE,RPE_WSE,GSE_WSE,WLM_QA_DESC,WLM_DESC,WLM_ACC_DESC,WLM_ORG_ID,WLM_ORG_NAME,MSMT_CMT,COOP_AGENCY_ORG_ID,COOP_ORG_NAME
36078,364736N1192415W001,1072668,2008-02-13T00:00:00Z,342.67,340.67,0,55.5,287.17,55.5,53.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072667,2007-01-24T00:00:00Z,342.67,340.67,0,59,283.67,59,57,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072669,2006-10-11T00:00:00Z,342.67,340.67,0,60,282.67,60,58,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072665,2004-02-05T00:00:00Z,342.67,340.67,0,73.9,268.77,73.9,71.9,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072666,2003-10-07T00:00:00Z,342.67,340.67,0,77.5,265.17,77.5,75.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072662,2003-01-20T00:00:00Z,342.67,340.67,0,42.9,299.77,42.9,40.9,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072664,2002-10-02T00:00:00Z,342.67,340.67,0,76.7,265.97,76.7,74.7,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072663,2002-01-30T00:00:00Z,342.67,340.67,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072661,2001-02-06T00:00:00Z,342.67,340.67,0,39,303.67,39,37,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072660,2000-02-03T00:00:00Z,342.67,340.67,0,44,298.67,44,42,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072659,1999-10-19T00:00:00Z,342.67,340.67,0,46,296.67,46,44,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072658,1999-02-09T00:00:00Z,342.67,340.67,0,42,300.67,42,40,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072657,1998-10-08T00:00:00Z,342.67,340.67,0,40,302.67,40,38,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072656,1998-01-20T00:00:00Z,342.67,340.67,0,43,299.67,43,41,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072655,1997-01-23T00:00:00Z,342.67,340.67,0,38,304.67,38,36,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072654,1996-09-26T00:00:00Z,342.67,340.67,0,65,277.67,65,63,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072653,1996-01-23T00:00:00Z,342.67,340.67,0,62,280.67,62,60,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072652,1995-10-05T00:00:00Z,342.67,340.67,0,52,290.67,52,50,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36078,364736N1192415W001,1072651,1995-01-24T00:00:00Z,342.67,340.67,0,61,281.67,61,59,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
