STN_ID,SITE_CODE,WLM_ID,MSMT_DATE,WLM_RPE,WLM_GSE,RDNG_WS,RDNG_RP,WSE,RPE_WSE,GSE_WSE,WLM_QA_DESC,WLM_DESC,WLM_ACC_DESC,WLM_ORG_ID,WLM_ORG_NAME,MSMT_CMT,COOP_AGENCY_ORG_ID,COOP_ORG_NAME
36884,352305N1188532W001,652559,1967-02-01T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652558,1966-09-01T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652557,1965-09-28T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Tape hung up,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652556,1965-01-27T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652555,1964-09-23T00:00:00Z,460.05,459.55,0,336,124.05,336,335.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652554,1964-01-30T00:00:00Z,460.05,459.55,0,312.5,147.55,312.5,312,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652553,1963-09-18T00:00:00Z,460.05,459.55,0,320.9,139.15,320.9,320.4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652552,1963-01-31T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Can't get tape in casing,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652551,1962-10-02T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Tape hung up,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652550,1962-01-30T00:00:00Z,460.05,459.55,0,297,163.05,297,296.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652549,1961-10-05T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Tape hung up,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652548,1961-01-31T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Tape hung up,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
36884,352305N1188532W001,652547,1960-09-28T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Tape hung up,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
36884,352305N1188532W001,652546,1960-02-04T00:00:00Z,460.05,459.55,0,271.6,188.45,271.6,271.1,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652545,1959-09-30T00:00:00Z,460.05,459.55,0,299,161.05,299,298.5,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652544,1959-02-04T00:00:00Z,460.05,459.55,0,273.5,186.55,273.5,273,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652543,1958-09-26T00:00:00Z,460.05,459.55,0,265.6,194.45,265.6,265.1,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652542,1958-02-03T00:00:00Z,460.05,459.55,0,255.3,204.75,255.3,254.8,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652541,1957-09-27T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Tape hung up,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652540,1957-02-07T00:00:00Z,460.05,459.55,0,231.1,228.95,231.1,230.6,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652539,1956-10-02T00:00:00Z,460.05,459.55,0,249.1,210.95,249.1,248.6,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652538,1956-02-08T00:00:00Z,460.05,459.55,0,227.6,232.45,227.6,227.1,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652537,1955-09-13T00:00:00Z,460.05,459.55,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652536,1955-02-08T00:00:00Z,460.05,459.55,0,227.7,232.35,227.7,227.2,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652535,1954-02-03T00:00:00Z,460.05,459.55,0,203.3,256.75,203.3,202.8,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652534,1953-09-17T00:00:00Z,460.05,459.55,0,235.5,224.55,235.5,235,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652533,1953-01-27T00:00:00Z,460.05,459.55,0,209.7,250.35,209.7,209.2,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652532,1952-09-17T00:00:00Z,460.05,459.55,0,227.4,232.65,227.4,226.9,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
36884,352305N1188532W001,652531,1952-01-17T00:00:00Z,460.05,459.55,0,200.9,259.15,200.9,200.4,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
