STN_ID,SITE_CODE,WLM_ID,MSMT_DATE,WLM_RPE,WLM_GSE,RDNG_WS,RDNG_RP,WSE,RPE_WSE,GSE_WSE,WLM_QA_DESC,WLM_DESC,WLM_ACC_DESC,WLM_ORG_ID,WLM_ORG_NAME,MSMT_CMT,COOP_AGENCY_ORG_ID,COOP_ORG_NAME
39724,366910N1205130W004,2230905,2016-11-10T11:00:00Z,307.84,306.54,0,43.3,264.54,43.3,42,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,2198651,2016-05-10T13:40:00Z,307.84,306.54,0,42.1,265.74,42.1,40.8,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,2182220,2015-12-04T13:48:00Z,307.84,306.54,NA,NA,NA,NA,NA,Special/Other,NA,NA,5100,Westlands Water District,Plugged at 3.8',5100,Westlands Water District
39724,366910N1205130W004,2141055,2015-04-22T11:50:00Z,307.84,306.54,0,40.4,267.44,40.4,39.1,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,2141054,2014-10-15T13:19:00Z,307.84,306.54,0,39.6,268.24,39.6,38.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,1990049,2014-05-06T10:10:00Z,307.84,306.54,0,37.4,270.44,37.4,36.1,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,1795720,2013-10-01T13:17:00Z,307.84,306.54,0,34,273.84,34,32.7,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,1715250,2013-04-08T13:07:00Z,307.84,306.54,0,35.6,272.24,35.6,34.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,70468,2012-10-11T09:44:00Z,307.84,306.54,0,34,273.84,34,32.7,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,55241,2012-04-10T14:23:00Z,307.84,306.54,0,35.8,272.04,35.8,34.5,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,36050,2011-10-10T00:00:00Z,307.84,306.54,0,34.6,273.24,34.6,33.3,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
39724,366910N1205130W004,36527,2011-04-06T00:00:00Z,307.84,306.54,0,36.9,270.94,36.9,35.6,NA,Electric sounder measurement,Water level accuracy to nearest tenth of a foot,5100,Westlands Water District,NA,5100,Westlands Water District
